"","atm_id","horario","Total_fallas","score","riesgo_fallo"
"108","1044","Madrugada",5,0.0335570469798658,"Bajo"
"109","1044","Mañana",3,0.0201342281879195,"Bajo"
"110","1044","Noche",2,0.0134228187919463,"Bajo"
"111","1044","Tarde",2,0.0134228187919463,"Bajo"
"112","1045","Mañana",1,0.00671140939597315,"Muy bajo"
"113","1045","Tarde",2,0.0134228187919463,"Bajo"
"114","1046","Madrugada",2,0.0134228187919463,"Bajo"
"115","1046","Mañana",1,0.00671140939597315,"Muy bajo"
"116","1046","Noche",1,0.00671140939597315,"Muy bajo"
"117","1046","Tarde",3,0.0201342281879195,"Bajo"
"118","1047","Madrugada",2,0.0134228187919463,"Bajo"
"119","1047","Mañana",1,0.00671140939597315,"Muy bajo"
"120","1047","Noche",1,0.00671140939597315,"Muy bajo"
"121","1047","Tarde",2,0.0134228187919463,"Bajo"
"122","1048","Madrugada",4,0.0268456375838926,"Bajo"
"123","1048","Mañana",3,0.0201342281879195,"Bajo"
"124","1048","Noche",1,0.00671140939597315,"Muy bajo"
"125","1048","Tarde",4,0.0268456375838926,"Bajo"
"126","1049","Madrugada",5,0.0335570469798658,"Bajo"
"127","1049","Mañana",3,0.0201342281879195,"Bajo"
"128","1049","Noche",1,0.00671140939597315,"Muy bajo"
"129","105","Madrugada",3,0.0201342281879195,"Bajo"
"130","105","Mañana",2,0.0134228187919463,"Bajo"
"131","105","Noche",2,0.0134228187919463,"Bajo"
"132","1051","Madrugada",3,0.0201342281879195,"Bajo"
"133","1051","Mañana",1,0.00671140939597315,"Muy bajo"
"134","1051","Noche",2,0.0134228187919463,"Bajo"
"135","1052","Tarde",3,0.0201342281879195,"Bajo"
"136","1053","Madrugada",2,0.0134228187919463,"Bajo"
"137","1053","Mañana",1,0.00671140939597315,"Muy bajo"
"138","1053","Noche",2,0.0134228187919463,"Bajo"
"139","1053","Tarde",1,0.00671140939597315,"Muy bajo"
"140","1054","Madrugada",3,0.0201342281879195,"Bajo"
"141","1054","Mañana",1,0.00671140939597315,"Muy bajo"
"142","1054","Noche",1,0.00671140939597315,"Muy bajo"
"143","1054","Tarde",3,0.0201342281879195,"Bajo"
"144","1056","Madrugada",1,0.00671140939597315,"Muy bajo"
"145","1056","Tarde",3,0.0201342281879195,"Bajo"
"146","1057","Madrugada",1,0.00671140939597315,"Muy bajo"
"147","1057","Mañana",1,0.00671140939597315,"Muy bajo"
"148","1057","Noche",1,0.00671140939597315,"Muy bajo"
"149","1058","Madrugada",4,0.0268456375838926,"Bajo"
"150","1058","Noche",2,0.0134228187919463,"Bajo"
"151","106","Tarde",1,0.00671140939597315,"Muy bajo"
"152","1061","Madrugada",4,0.0268456375838926,"Bajo"
"153","1061","Mañana",2,0.0134228187919463,"Bajo"
"154","1061","Noche",4,0.0268456375838926,"Bajo"
"155","1061","Tarde",4,0.0268456375838926,"Bajo"
"156","1062","Madrugada",1,0.00671140939597315,"Muy bajo"
"157","1063","Madrugada",8,0.0536912751677852,"Moderado"
"158","1063","Mañana",6,0.0402684563758389,"Bajo"
"159","1063","Noche",1,0.00671140939597315,"Muy bajo"
"160","1064","Mañana",2,0.0134228187919463,"Bajo"
"161","1066","Madrugada",6,0.0402684563758389,"Bajo"
"162","1066","Mañana",2,0.0134228187919463,"Bajo"
"163","1066","Noche",3,0.0201342281879195,"Bajo"
"164","1066","Tarde",2,0.0134228187919463,"Bajo"
"165","1069","Madrugada",4,0.0268456375838926,"Bajo"
"166","1069","Mañana",1,0.00671140939597315,"Muy bajo"
"167","1069","Noche",1,0.00671140939597315,"Muy bajo"
"168","1069","Tarde",2,0.0134228187919463,"Bajo"
"169","107","Madrugada",2,0.0134228187919463,"Bajo"
"170","107","Mañana",2,0.0134228187919463,"Bajo"
